column_name,data_type,description,unit,allowed_values,missing_value_meaning
image_id,string,Unique identifier assigned to each histopathology patch image,none,histo_00001 to histo_02500,Not allowed; required primary key
image_path,string,Relative file path to the stored 50x50 RGB PNG image file,none,histopathology/images/histo_*.png,Not allowed; file must exist
label,integer,Binary diagnostic classification target for cancer presence,category code,"0, 1",Not allowed; fully annotated
class,string,Pathological IDC status: non_idc_or_benign (0) vs invasive_ductal_carcinoma (1),categorical,"non_idc_or_benign, invasive_ductal_carcinoma",Not allowed
source,string,Original dataset provenance and landmark citation reference,none,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),Not allowed
magnification,string,Optical magnification level of the whole slide scan source,optical power,40x,Not allowed
width,integer,Image width in pixels,pixels,50,Not allowed
height,integer,Image height in pixels,pixels,50,Not allowed
channels,integer,Number of color channels in image,channels,3,Not allowed
split,string,Machine learning dataset partition assignment,partition,"train, val, test",Not allowed
md5_hash,string,MD5 cryptographic checksum of raw image bytes for deduplication and integrity,hex string,32-character hexadecimal string,Not allowed
patient_id,string,De-identified patient identifier corresponding to TCIA NSCLC cohort,none,LUNG1-001 through LUNG1-007,Not allowed; primary subject identifier
study_id,string,Imaging examination study identifier,none,study_LUNG1-*,Not allowed
series_id,string,CT volumetric acquisition series identifier,none,ct_axial_LUNG1-*,Not allowed
image_id,string,Unique identifier for specific CT axial slice,none,LUNG1-*_slice_***,Not allowed
slice_id,integer,Zero-indexed axial slice index along inferior-to-superior z-axis,index,0 to max_slice_index,Not allowed
timepoint,string,Clinical acquisition temporal stage,categorical,baseline_pretreatment,Not allowed
image_path,string,Relative path to windowed 8-bit grayscale PNG CT slice,none,radiology/images/LUNG1-*_slice_*.png,Not allowed; file must exist
mask_path,string,Relative path to binary expert GTV-1 tumor segmentation mask PNG,none,radiology/masks/LUNG1-*_slice_*_mask.png,Not allowed; file must exist
tumor_present,integer,Binary indicator whether tumor delineation is present on this 2D slice,boolean indicator,"0, 1",Not allowed
