image_id,image_path,label,class,source,magnification,width,height,channels,split,md5_hash
histo_00001,histopathology/images/histo_00001.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,eab96dade25e7896b297ab15bdade589
histo_00002,histopathology/images/histo_00002.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,c39e11123fa3334f065b7ec3fa6c6827
histo_00003,histopathology/images/histo_00003.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,5bec3f6310644019c8493f5dc20402e9
histo_00004,histopathology/images/histo_00004.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,d1e9c9eda24bfea9cea59dbc8329ca01
histo_00005,histopathology/images/histo_00005.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,969d6e74bbf9fc99778dc88e5dacf173
histo_00006,histopathology/images/histo_00006.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,9d3cda8056e002c64a636879a2f51765
histo_00007,histopathology/images/histo_00007.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,60f644975d6794bda3629c6646d68667
histo_00008,histopathology/images/histo_00008.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,1cf94b1047d4ea0775fb9bdbdf170064
histo_00009,histopathology/images/histo_00009.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,452760bc4f49b8a69392814f07e7bb6c
histo_00010,histopathology/images/histo_00010.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,test,3c1cada07ab4d6962164dcfe071e5a2a
histo_00011,histopathology/images/histo_00011.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,6af3a7331ec0153262aba77ca885c5bb
histo_00012,histopathology/images/histo_00012.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,6d8dee1e5963df1ae25e804cd09b4ec2
histo_00013,histopathology/images/histo_00013.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,adf3ce370adbd6902ff51be1eb83578d
histo_00014,histopathology/images/histo_00014.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,64aae2f647db561f1840940f114656f3
histo_00015,histopathology/images/histo_00015.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,a49e586c0a9b867cf9876465b6bd2b4a
histo_00016,histopathology/images/histo_00016.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,1213a8c3948f61327626075a7e0b0253
histo_00017,histopathology/images/histo_00017.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,1c25269830c4809d8950ec9e4a720461
histo_00018,histopathology/images/histo_00018.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,6cc161bd717cb4aa7240c25420a9439c
histo_00019,histopathology/images/histo_00019.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,78e95a6546fe7731deaa21e03f8e1d17
histo_00020,histopathology/images/histo_00020.png,0,non_idc_or_benign,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,train,16c8c207cecc25f538aeaab40d322ed9
histo_00021,histopathology/images/histo_00021.png,1,invasive_ductal_carcinoma,Breast Histopathology Images (IDC Benchmark / Cruz-Roa et al.),40x,50,50,3,val,7e7cd0911c93d5d09462447dfc34f7cc
